,ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Gerente,Meta_Mensal,Faturamento,Ano_Mes
18,19,2024-03-20,Salvador,Cabo HDMI,40.0,1,Cliente_4793,Ana,52000.0,40.0,2024-03
19,20,2024-08-15,Belo Horizonte,Smartphone Samsung,2200.0,3,Cliente_27943,Juliana,55000.0,6600.0,2024-08
20,21,2024-12-27,Curitiba,Teclado Mecânico,250.0,1,Cliente_20626,Roberto,45000.0,250.0,2024-12
21,22,2023-11-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_28539,Carlos,50000.0,1200.0,2023-11
22,23,2024-03-12,Belo Horizonte,Notebook HP,3200.0,1,Cliente_20935,Juliana,55000.0,3200.0,2024-03
23,24,2023-05-15,Recife,Cabo HDMI,40.0,3,Cliente_20951,Marcos,48000.0,120.0,2023-05
24,25,2023-12-18,Rio De Janeiro,iPhone 14,5500.0,1,Cliente_23275,Fernanda,60000.0,5500.0,2023-12
25,26,2023-09-01,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_19792,Juliana,55000.0,250.0,2023-09
26,27,2023-12-15,Curitiba,Teclado Mecânico,250.0,3,Cliente_20985,Roberto,45000.0,750.0,2023-12
27,28,2024-02-18,Belo Horizonte,Notebook HP,3200.0,1,Cliente_25846,Juliana,55000.0,3200.0,2024-02
28,29,2023-04-30,Porto Alegre,Cabo HDMI,40.0,1,Cliente_15726,Pedro,42000.0,40.0,2023-04
29,30,2023-03-18,Recife,iPhone 14,5500.0,5,Cliente_25098,Marcos,48000.0,27500.0,2023-03
30,31,2024-07-19,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_553,Pedro,42000.0,1200.0,2024-07
31,32,2023-10-21,Belo Horizonte,Notebook Dell,3500.0,1,Cliente_17604,Juliana,55000.0,3500.0,2023-10
32,33,2023-08-27,Recife,iPhone 14,5500.0,1,Cliente_27756,Marcos,48000.0,5500.0,2023-08
33,34,2023-01-30,Recife,Notebook HP,3200.0,2,Cliente_14540,Marcos,48000.0,6400.0,2023-01
34,35,2024-04-13,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_21068,Juliana,55000.0,250.0,2024-04
35,36,2023-08-18,Rio De Janeiro,"Monitor 27""",1200.0,10,Cliente_14934,Fernanda,60000.0,12000.0,2023-08
36,37,2023-10-01,Salvador,iPhone 14,5500.0,3,Cliente_17307,Ana,52000.0,16500.0,2023-10
37,38,2024-09-01,Rio De Janeiro,Notebook Dell,3500.0,1,Cliente_9658,Fernanda,60000.0,3500.0,2024-09
38,39,2023-10-12,Curitiba,Notebook Dell,3500.0,1,Cliente_22952,Roberto,45000.0,3500.0,2023-10
39,40,2024-07-14,Porto Alegre,Smartphone Samsung,2200.0,2,Cliente_14946,Pedro,42000.0,4400.0,2024-07
40,41,2024-03-04,Belo Horizonte,Smartphone Samsung,2200.0,1,Cliente_19675,Juliana,55000.0,2200.0,2024-03
41,42,2023-05-28,Porto Alegre,Mouse Gamer,120.0,2,Cliente_24639,Pedro,42000.0,240.0,2023-05
42,43,2024-02-19,Porto Alegre,Notebook HP,3200.0,1,Cliente_26537,Pedro,42000.0,3200.0,2024-02
43,44,2023-02-16,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_27220,Juliana,55000.0,40.0,2023-02
44,45,2023-03-24,São Paulo,iPhone 14,5500.0,2,Cliente_29552,Carlos,50000.0,11000.0,2023-03
45,46,2023-09-26,Rio De Janeiro,iPhone 14,5500.0,2,Cliente_1461,Fernanda,60000.0,11000.0,2023-09
46,47,2023-07-24,Recife,Cabo HDMI,40.0,1,Cliente_2518,Marcos,48000.0,40.0,2023-07
47,48,2023-10-28,São Paulo,Mouse Gamer,120.0,1,Cliente_27710,Carlos,50000.0,120.0,2023-10
48,49,2023-03-11,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_7772,Juliana,55000.0,250.0,2023-03
49,50,2023-11-09,São Paulo,Teclado Mecânico,250.0,1,Cliente_12892,Carlos,50000.0,250.0,2023-11
50,51,2024-04-15,Rio De Janeiro,Mouse Gamer,120.0,2,Cliente_24734,Fernanda,60000.0,240.0,2024-04
51,52,2024-01-10,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_17824,Juliana,55000.0,250.0,2024-01
52,53,2023-11-07,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_1707,Pedro,42000.0,2200.0,2023-11
53,54,2024-08-31,Porto Alegre,iPhone 14,5500.0,1,Cliente_4625,Pedro,42000.0,5500.0,2024-08
54,55,2023-06-25,Rio De Janeiro,Mouse Gamer,120.0,3,Cliente_14806,Fernanda,60000.0,360.0,2023-06
55,56,2023-11-29,São Paulo,iPhone 14,5500.0,2,Cliente_10628,Carlos,50000.0,11000.0,2023-11
56,57,2024-04-09,Curitiba,Cabo HDMI,40.0,1,Cliente_4193,Roberto,45000.0,40.0,2024-04
57,58,2023-11-08,Salvador,Notebook Dell,3500.0,1,Cliente_22829,Ana,52000.0,3500.0,2023-11
58,59,2023-03-21,Recife,Smartphone Samsung,2200.0,1,Cliente_14314,Marcos,48000.0,2200.0,2023-03
59,60,2024-03-07,Recife,"Monitor 27""",1200.0,1,Cliente_1357,Marcos,48000.0,1200.0,2024-03
60,61,2024-12-04,Salvador,Smartphone Samsung,2200.0,1,Cliente_9034,Ana,52000.0,2200.0,2024-12
61,62,2024-03-04,Salvador,Mouse Gamer,120.0,1,Cliente_9955,Ana,52000.0,120.0,2024-03
62,63,2024-02-05,Curitiba,"Monitor 27""",1200.0,1,Cliente_13410,Roberto,45000.0,1200.0,2024-02
63,64,2023-07-19,Curitiba,Notebook Dell,3500.0,2,Cliente_4574,Roberto,45000.0,7000.0,2023-07
64,65,2024-04-17,Online,Mouse Gamer,120.0,2,Cliente_2365,Sem Gerente (E-commerce),0.0,240.0,2024-04
65,66,2024-03-23,Rio De Janeiro,Notebook HP,3200.0,1,Cliente_7343,Fernanda,60000.0,3200.0,2024-03
66,67,2024-04-23,Belo Horizonte,iPhone 14,5500.0,1,Cliente_4833,Juliana,55000.0,5500.0,2024-04
67,68,2023-04-29,Curitiba,Notebook Dell,3500.0,1,Cliente_8204,Roberto,45000.0,3500.0,2023-04
68,69,2023-06-29,Rio De Janeiro,iPhone 14,5500.0,1,Cliente_29179,Fernanda,60000.0,5500.0,2023-06
69,70,2023-10-23,Porto Alegre,Teclado Mecânico,250.0,1,Cliente_239,Pedro,42000.0,250.0,2023-10
70,71,2023-11-16,São Paulo,Notebook HP,3200.0,1,Cliente_18298,Carlos,50000.0,3200.0,2023-11
71,72,2023-12-24,São Paulo,Notebook HP,3200.0,10,Cliente_22438,Carlos,50000.0,32000.0,2023-12
72,73,2024-10-09,Curitiba,Notebook Dell,3500.0,1,Cliente_3893,Roberto,45000.0,3500.0,2024-10
73,74,2023-04-22,São Paulo,Notebook HP,3200.0,1,Cliente_8812,Carlos,50000.0,3200.0,2023-04
74,75,2024-01-06,Curitiba,"Monitor 27""",1200.0,1,Cliente_11301,Roberto,45000.0,1200.0,2024-01
75,76,2024-03-10,São Paulo,Notebook HP,3200.0,5,Cliente_17931,Carlos,50000.0,16000.0,2024-03
76,77,2023-11-18,São Paulo,iPhone 14,5500.0,1,Cliente_1733,Carlos,50000.0,5500.0,2023-11
77,78,2024-08-07,Belo Horizonte,iPhone 14,5500.0,1,Cliente_17890,Juliana,55000.0,5500.0,2024-08
78,79,2023-11-02,Salvador,Mouse Gamer,120.0,1,Cliente_9808,Ana,52000.0,120.0,2023-11
79,80,2023-01-20,Belo Horizonte,iPhone 14,5500.0,1,Cliente_7195,Juliana,55000.0,5500.0,2023-01
80,81,2023-03-09,São Paulo,Mouse Gamer,120.0,1,Cliente_2340,Carlos,50000.0,120.0,2023-03
81,82,2023-12-21,Belo Horizonte,iPhone 14,5500.0,1,Cliente_3765,Juliana,55000.0,5500.0,2023-12
82,83,2023-11-06,Curitiba,"Monitor 27""",1200.0,2,Cliente_21000,Roberto,45000.0,2400.0,2023-11
83,84,2024-03-23,Recife,Cabo HDMI,40.0,1,Cliente_13740,Marcos,48000.0,40.0,2024-03
84,85,2024-11-02,Curitiba,Mouse Gamer,120.0,1,Cliente_10615,Roberto,45000.0,120.0,2024-11
85,86,2024-05-20,Belo Horizonte,Smartphone Samsung,2200.0,1,Cliente_17307,Juliana,55000.0,2200.0,2024-05
86,87,2023-05-17,Rio De Janeiro,Teclado Mecânico,250.0,1,Cliente_9568,Fernanda,60000.0,250.0,2023-05
87,88,2024-09-22,Salvador,Notebook Dell,3500.0,2,Cliente_17077,Ana,52000.0,7000.0,2024-09
88,89,2024-09-30,São Paulo,iPhone 14,5500.0,1,Cliente_5351,Carlos,50000.0,5500.0,2024-09
89,90,2023-09-14,Belo Horizonte,Notebook HP,3200.0,2,Cliente_28950,Juliana,55000.0,6400.0,2023-09
90,91,2023-02-18,Porto Alegre,Cabo HDMI,40.0,2,Cliente_22401,Pedro,42000.0,80.0,2023-02
91,92,2023-03-03,Porto Alegre,iPhone 14,5500.0,1,Cliente_2991,Pedro,42000.0,5500.0,2023-03
92,93,2024-09-05,Salvador,Notebook HP,3200.0,1,Cliente_16668,Ana,52000.0,3200.0,2024-09
93,94,2024-07-20,Salvador,Teclado Mecânico,250.0,2,Cliente_21862,Ana,52000.0,500.0,2024-07
94,95,2024-09-25,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_17628,Juliana,55000.0,250.0,2024-09
95,96,2024-02-04,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_24511,Juliana,55000.0,250.0,2024-02
96,97,2024-09-20,Porto Alegre,Notebook HP,3200.0,3,Cliente_15999,Pedro,42000.0,9600.0,2024-09
97,98,2024-09-29,Salvador,iPhone 14,5500.0,1,Cliente_4848,Ana,52000.0,5500.0,2024-09
98,99,2024-03-23,Curitiba,Teclado Mecânico,250.0,1,Cliente_21625,Roberto,45000.0,250.0,2024-03
99,100,2024-11-27,Salvador,"Monitor 27""",1200.0,1,Cliente_2409,Ana,52000.0,1200.0,2024-11
100,101,2023-03-09,São Paulo,Mouse Gamer,120.0,1,Cliente_18239,Carlos,50000.0,120.0,2023-03
101,102,2024-10-16,Recife,Notebook HP,3200.0,1,Cliente_27448,Marcos,48000.0,3200.0,2024-10
102,103,2023-09-25,Porto Alegre,Notebook HP,3200.0,1,Cliente_29296,Pedro,42000.0,3200.0,2023-09
103,104,2023-03-21,Porto Alegre,iPhone 14,5500.0,1,Cliente_13161,Pedro,42000.0,5500.0,2023-03
104,105,2023-03-05,Porto Alegre,Notebook HP,3200.0,3,Cliente_8346,Pedro,42000.0,9600.0,2023-03
105,106,2023-08-31,Salvador,Notebook HP,3200.0,1,Cliente_865,Ana,52000.0,3200.0,2023-08
106,107,2024-12-17,Salvador,Teclado Mecânico,250.0,1,Cliente_19378,Ana,52000.0,250.0,2024-12
107,108,2024-02-08,Belo Horizonte,iPhone 14,5500.0,2,Cliente_7229,Juliana,55000.0,11000.0,2024-02
108,109,2023-02-03,Salvador,Teclado Mecânico,250.0,2,Cliente_19979,Ana,52000.0,500.0,2023-02
109,110,2023-05-27,Rio De Janeiro,Mouse Gamer,120.0,1,Cliente_15972,Fernanda,60000.0,120.0,2023-05
110,111,2023-09-11,Porto Alegre,Cabo HDMI,40.0,2,Cliente_12041,Pedro,42000.0,80.0,2023-09
111,112,2023-03-16,São Paulo,Mouse Gamer,120.0,1,Cliente_25699,Carlos,50000.0,120.0,2023-03
112,113,2023-08-09,Salvador,Cabo HDMI,40.0,1,Cliente_26435,Ana,52000.0,40.0,2023-08
113,114,2023-04-02,Salvador,Teclado Mecânico,250.0,1,Cliente_4696,Ana,52000.0,250.0,2023-04
114,115,2024-02-07,Recife,Mouse Gamer,120.0,5,Cliente_10154,Marcos,48000.0,600.0,2024-02
115,116,2023-07-29,Porto Alegre,iPhone 14,5500.0,1,Cliente_20900,Pedro,42000.0,5500.0,2023-07
116,117,2023-06-26,Rio De Janeiro,Notebook Dell,3500.0,2,Cliente_23832,Fernanda,60000.0,7000.0,2023-06
117,118,2023-10-03,Porto Alegre,Teclado Mecânico,250.0,1,Cliente_15625,Pedro,42000.0,250.0,2023-10
118,119,2023-10-11,Salvador,Cabo HDMI,40.0,1,Cliente_9695,Ana,52000.0,40.0,2023-10
119,120,2023-05-16,Recife,"Monitor 27""",1200.0,5,Cliente_2675,Marcos,48000.0,6000.0,2023-05
120,121,2024-02-28,Recife,Cabo HDMI,40.0,1,Cliente_15384,Marcos,48000.0,40.0,2024-02
121,122,2023-06-23,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_14915,Pedro,42000.0,1200.0,2023-06
122,123,2023-12-21,Salvador,Notebook HP,3200.0,1,Cliente_29267,Ana,52000.0,3200.0,2023-12
123,124,2024-08-03,São Paulo,Mouse Gamer,120.0,5,Cliente_13174,Carlos,50000.0,600.0,2024-08
124,125,2024-11-11,Curitiba,"Monitor 27""",1200.0,1,Cliente_13872,Roberto,45000.0,1200.0,2024-11
125,126,2024-12-29,Rio De Janeiro,Cabo HDMI,40.0,1,Cliente_7881,Fernanda,60000.0,40.0,2024-12
126,127,2024-04-12,Porto Alegre,Notebook HP,3200.0,1,Cliente_7550,Pedro,42000.0,3200.0,2024-04
127,128,2023-07-18,Belo Horizonte,Notebook Dell,3500.0,1,Cliente_3782,Juliana,55000.0,3500.0,2023-07
128,129,2023-01-28,Recife,iPhone 14,5500.0,1,Cliente_22365,Marcos,48000.0,5500.0,2023-01
129,130,2023-10-08,Rio De Janeiro,iPhone 14,5500.0,1,Cliente_12299,Fernanda,60000.0,5500.0,2023-10
130,131,2024-03-15,São Paulo,iPhone 14,5500.0,1,Cliente_3098,Carlos,50000.0,5500.0,2024-03
131,132,2023-08-08,Rio De Janeiro,"Monitor 27""",1200.0,1,Cliente_8030,Fernanda,60000.0,1200.0,2023-08
132,133,2023-03-18,Belo Horizonte,Notebook Dell,3500.0,1,Cliente_18156,Juliana,55000.0,3500.0,2023-03
133,134,2023-08-10,Belo Horizonte,"Monitor 27""",1200.0,1,Cliente_6257,Juliana,55000.0,1200.0,2023-08
134,135,2023-04-13,São Paulo,Mouse Gamer,120.0,1,Cliente_15248,Carlos,50000.0,120.0,2023-04
135,136,2024-08-06,Rio De Janeiro,"Monitor 27""",1200.0,1,Cliente_15023,Fernanda,60000.0,1200.0,2024-08
136,137,2023-11-19,Porto Alegre,Notebook Dell,3500.0,1,Cliente_20012,Pedro,42000.0,3500.0,2023-11
137,138,2024-04-08,Curitiba,Notebook Dell,3500.0,1,Cliente_23970,Roberto,45000.0,3500.0,2024-04
138,139,2024-04-15,Curitiba,Mouse Gamer,120.0,2,Cliente_13542,Roberto,45000.0,240.0,2024-04
139,140,2024-01-29,Porto Alegre,Notebook Dell,3500.0,1,Cliente_10050,Pedro,42000.0,3500.0,2024-01
140,141,2023-09-19,Recife,Cabo HDMI,40.0,1,Cliente_18928,Marcos,48000.0,40.0,2023-09
141,142,2023-12-05,Porto Alegre,Notebook Dell,3500.0,3,Cliente_17265,Pedro,42000.0,10500.0,2023-12
142,143,2023-02-07,Salvador,iPhone 14,5500.0,1,Cliente_17065,Ana,52000.0,5500.0,2023-02
143,144,2024-04-18,Recife,Cabo HDMI,40.0,3,Cliente_16085,Marcos,48000.0,120.0,2024-04
144,145,2024-02-06,Rio De Janeiro,Cabo HDMI,40.0,2,Cliente_4329,Fernanda,60000.0,80.0,2024-02
145,146,2024-08-25,Porto Alegre,Mouse Gamer,120.0,1,Cliente_13915,Pedro,42000.0,120.0,2024-08
146,147,2023-05-28,Salvador,Smartphone Samsung,2200.0,1,Cliente_18657,Ana,52000.0,2200.0,2023-05
147,148,2024-01-25,Recife,Smartphone Samsung,2200.0,1,Cliente_12419,Marcos,48000.0,2200.0,2024-01
148,149,2024-08-15,Belo Horizonte,Notebook Dell,3500.0,2,Cliente_1697,Juliana,55000.0,7000.0,2024-08
149,150,2023-01-30,São Paulo,Cabo HDMI,40.0,1,Cliente_14119,Carlos,50000.0,40.0,2023-01
150,151,2023-04-25,Recife,Smartphone Samsung,2200.0,1,Cliente_8421,Marcos,48000.0,2200.0,2023-04
151,152,2023-05-03,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_17947,Pedro,42000.0,2200.0,2023-05
152,153,2024-06-11,Curitiba,Notebook Dell,3500.0,1,Cliente_927,Roberto,45000.0,3500.0,2024-06
153,154,2023-06-02,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_15072,Pedro,42000.0,2200.0,2023-06
154,155,2024-03-10,Belo Horizonte,"Monitor 27""",1200.0,1,Cliente_20439,Juliana,55000.0,1200.0,2024-03
155,156,2023-09-29,Salvador,Notebook HP,3200.0,1,Cliente_29402,Ana,52000.0,3200.0,2023-09
156,157,2023-03-11,Curitiba,Mouse Gamer,120.0,1,Cliente_5687,Roberto,45000.0,120.0,2023-03
157,158,2023-07-11,Recife,Notebook HP,3200.0,1,Cliente_26393,Marcos,48000.0,3200.0,2023-07
158,159,2024-03-19,Porto Alegre,Notebook Dell,3500.0,2,Cliente_21330,Pedro,42000.0,7000.0,2024-03
159,160,2023-08-21,Recife,iPhone 14,5500.0,1,Cliente_26475,Marcos,48000.0,5500.0,2023-08
160,161,2024-11-22,Salvador,Mouse Gamer,120.0,1,Cliente_16983,Ana,52000.0,120.0,2024-11
161,162,2023-07-03,Belo Horizonte,Notebook Dell,3500.0,1,Cliente_11612,Juliana,55000.0,3500.0,2023-07
162,163,2023-09-30,Curitiba,Cabo HDMI,40.0,1,Cliente_13319,Roberto,45000.0,40.0,2023-09
163,164,2024-06-22,São Paulo,iPhone 14,5500.0,5,Cliente_26947,Carlos,50000.0,27500.0,2024-06
164,165,2024-05-29,São Paulo,Notebook HP,3200.0,1,Cliente_9787,Carlos,50000.0,3200.0,2024-05
165,166,2023-12-20,Salvador,Notebook Dell,3500.0,10,Cliente_14063,Ana,52000.0,35000.0,2023-12
166,167,2024-02-17,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_10899,Juliana,55000.0,40.0,2024-02
167,168,2023-09-17,Porto Alegre,Mouse Gamer,120.0,2,Cliente_27186,Pedro,42000.0,240.0,2023-09
168,169,2023-10-10,Recife,Mouse Gamer,120.0,3,Cliente_4407,Marcos,48000.0,360.0,2023-10
169,170,2023-03-17,Porto Alegre,Teclado Mecânico,250.0,1,Cliente_5639,Pedro,42000.0,250.0,2023-03
170,171,2023-12-21,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_26262,Juliana,55000.0,40.0,2023-12
171,172,2023-01-14,Online,"Monitor 27""",1200.0,1,Cliente_27087,Sem Gerente (E-commerce),0.0,1200.0,2023-01
172,173,2023-02-25,São Paulo,Smartphone Samsung,2200.0,2,Cliente_23353,Carlos,50000.0,4400.0,2023-02
173,174,2023-01-22,Online,iPhone 14,5500.0,1,Cliente_16918,Sem Gerente (E-commerce),0.0,5500.0,2023-01
174,175,2024-05-03,Curitiba,Cabo HDMI,40.0,1,Cliente_760,Roberto,45000.0,40.0,2024-05
175,176,2024-06-19,São Paulo,Teclado Mecânico,250.0,1,Cliente_19721,Carlos,50000.0,250.0,2024-06
176,177,2024-12-30,São Paulo,Smartphone Samsung,2200.0,3,Cliente_4388,Carlos,50000.0,6600.0,2024-12
177,178,2024-06-06,Rio De Janeiro,Smartphone Samsung,2200.0,1,Cliente_11815,Fernanda,60000.0,2200.0,2024-06
178,179,2024-08-06,Recife,Notebook Dell,3500.0,1,Cliente_20615,Marcos,48000.0,3500.0,2024-08
179,180,2024-12-13,Belo Horizonte,Smartphone Samsung,2200.0,3,Cliente_11750,Juliana,55000.0,6600.0,2024-12
180,181,2023-02-07,Rio De Janeiro,"Monitor 27""",1200.0,1,Cliente_27123,Fernanda,60000.0,1200.0,2023-02
181,182,2024-03-29,São Paulo,Mouse Gamer,120.0,2,Cliente_14924,Carlos,50000.0,240.0,2024-03
182,183,2023-03-31,Recife,Teclado Mecânico,250.0,1,Cliente_16599,Marcos,48000.0,250.0,2023-03
183,184,2024-07-10,Salvador,Smartphone Samsung,2200.0,1,Cliente_5111,Ana,52000.0,2200.0,2024-07
184,185,2024-08-23,Salvador,Notebook Dell,3500.0,1,Cliente_28309,Ana,52000.0,3500.0,2024-08
185,186,2024-10-01,Recife,"Monitor 27""",1200.0,1,Cliente_17637,Marcos,48000.0,1200.0,2024-10
186,187,2023-09-11,Rio De Janeiro,Notebook HP,3200.0,1,Cliente_21780,Fernanda,60000.0,3200.0,2023-09
187,188,2024-03-11,Curitiba,Mouse Gamer,120.0,1,Cliente_6606,Roberto,45000.0,120.0,2024-03
188,189,2024-06-16,Curitiba,Mouse Gamer,120.0,2,Cliente_500,Roberto,45000.0,240.0,2024-06
189,190,2024-07-25,Salvador,Teclado Mecânico,250.0,1,Cliente_23152,Ana,52000.0,250.0,2024-07
190,191,2023-08-27,Belo Horizonte,Mouse Gamer,120.0,2,Cliente_22176,Juliana,55000.0,240.0,2023-08
191,192,2023-04-01,Recife,Smartphone Samsung,2200.0,2,Cliente_17405,Marcos,48000.0,4400.0,2023-04
192,193,2024-06-06,Porto Alegre,Notebook Dell,3500.0,1,Cliente_27421,Pedro,42000.0,3500.0,2024-06
193,194,2024-10-21,Rio De Janeiro,Mouse Gamer,120.0,2,Cliente_15995,Fernanda,60000.0,240.0,2024-10
194,195,2024-09-01,São Paulo,Mouse Gamer,120.0,5,Cliente_12677,Carlos,50000.0,600.0,2024-09
195,196,2023-02-20,Curitiba,Notebook HP,3200.0,1,Cliente_16857,Roberto,45000.0,3200.0,2023-02
196,197,2024-12-04,Rio De Janeiro,Notebook HP,3200.0,1,Cliente_22768,Fernanda,60000.0,3200.0,2024-12
197,198,2024-04-14,Belo Horizonte,iPhone 14,5500.0,1,Cliente_21050,Juliana,55000.0,5500.0,2024-04
198,199,2024-10-17,Belo Horizonte,"Monitor 27""",1200.0,5,Cliente_4532,Juliana,55000.0,6000.0,2024-10
199,200,2024-12-25,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_15530,Pedro,42000.0,2200.0,2024-12
200,201,2023-07-24,Recife,Mouse Gamer,120.0,1,Cliente_11757,Marcos,48000.0,120.0,2023-07
201,202,2023-12-29,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_13811,Juliana,55000.0,40.0,2023-12
202,203,2024-11-24,Belo Horizonte,Mouse Gamer,120.0,5,Cliente_22746,Juliana,55000.0,600.0,2024-11
203,204,2024-05-20,Porto Alegre,Notebook Dell,3500.0,1,Cliente_18586,Pedro,42000.0,3500.0,2024-05
204,205,2024-11-26,Porto Alegre,iPhone 14,5500.0,1,Cliente_2388,Pedro,42000.0,5500.0,2024-11
205,206,2024-05-18,Curitiba,"Monitor 27""",1200.0,2,Cliente_15961,Roberto,45000.0,2400.0,2024-05
206,207,2023-05-07,Curitiba,Cabo HDMI,40.0,1,Cliente_20156,Roberto,45000.0,40.0,2023-05
207,208,2024-04-24,Belo Horizonte,iPhone 14,5500.0,1,Cliente_17574,Juliana,55000.0,5500.0,2024-04
208,209,2024-06-08,Salvador,Teclado Mecânico,250.0,1,Cliente_13930,Ana,52000.0,250.0,2024-06
209,210,2024-08-30,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_20027,Pedro,42000.0,1200.0,2024-08
210,211,2024-01-12,Salvador,Mouse Gamer,120.0,1,Cliente_29159,Ana,52000.0,120.0,2024-01
211,212,2024-08-17,Recife,Mouse Gamer,120.0,1,Cliente_23724,Marcos,48000.0,120.0,2024-08
212,213,2024-12-28,Curitiba,"Monitor 27""",1200.0,1,Cliente_28715,Roberto,45000.0,1200.0,2024-12
213,214,2023-10-27,Curitiba,Mouse Gamer,120.0,1,Cliente_28528,Roberto,45000.0,120.0,2023-10
214,215,2024-07-05,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_12899,Pedro,42000.0,2200.0,2024-07
215,216,2023-07-16,Salvador,"Monitor 27""",1200.0,1,Cliente_2153,Ana,52000.0,1200.0,2023-07
216,217,2024-06-23,Belo Horizonte,iPhone 14,5500.0,1,Cliente_16049,Juliana,55000.0,5500.0,2024-06
217,218,2023-03-22,Recife,"Monitor 27""",1200.0,2,Cliente_28141,Marcos,48000.0,2400.0,2023-03
218,219,2023-04-04,Salvador,Cabo HDMI,40.0,5,Cliente_23031,Ana,52000.0,200.0,2023-04
219,220,2024-12-02,Salvador,Mouse Gamer,120.0,1,Cliente_15775,Ana,52000.0,120.0,2024-12
220,221,2023-11-02,Belo Horizonte,Smartphone Samsung,2200.0,1,Cliente_906,Juliana,55000.0,2200.0,2023-11
221,222,2023-01-11,São Paulo,Smartphone Samsung,2200.0,1,Cliente_9968,Carlos,50000.0,2200.0,2023-01
222,223,2023-04-19,São Paulo,Teclado Mecânico,250.0,1,Cliente_17418,Carlos,50000.0,250.0,2023-04
223,224,2024-10-16,Salvador,iPhone 14,5500.0,1,Cliente_26628,Ana,52000.0,5500.0,2024-10
224,225,2024-01-29,Porto Alegre,Notebook HP,3200.0,1,Cliente_20820,Pedro,42000.0,3200.0,2024-01
225,226,2023-05-28,Recife,Notebook HP,3200.0,1,Cliente_13877,Marcos,48000.0,3200.0,2023-05
226,227,2024-02-18,São Paulo,"Monitor 27""",1200.0,1,Cliente_26613,Carlos,50000.0,1200.0,2024-02
227,228,2023-06-12,Porto Alegre,Teclado Mecânico,250.0,3,Cliente_9673,Pedro,42000.0,750.0,2023-06
